Division Name,Dept,Course,Name,Meth,Succ.,Compl,A,B,C,IPP,D,F,INP,W,Total
Fine Arts,MUSI,MUSI-111,"Martin, Margot",ONLIN,0.18,0.56,6.0,1,0,0,3,12,0,17,39
Fine Arts,MUSI,MUSI-111,"Schulz, Patrick",ONLIN,0.6,0.7,13.0,4,7,0,0,4,0,12,40
Fine Arts,MUSI,MUSI-112H,"Doyle, William",HYBRD,1.0,1.0,18.0,0,0,0,0,0,0,0,18
Fine Arts,MUSI,MUSI-113,"Moyer, David",ONLIN,0.55,0.73,13.0,5,4,0,1,6,0,11,40
Fine Arts,MUSI,MUSI-116,"Chan, Alan",ECC,0.58,0.81,6.0,5,4,0,1,5,0,5,26
Fine Arts,MUSI,MUSI-116,"Martin, Margot",ONLIN,0.55,0.74,16.0,5,2,0,1,7,0,11,42
Fine Arts,MUSI,MUSI-116,"Minei, Ryota",ONLIN,0.98,0.98,18.0,10,24,0,0,0,0,1,53
Fine Arts,MUSI,MUSI-116,"Moyer, David",ONLIN,0.67,0.97,15.0,7,4,0,3,9,0,1,39
Fine Arts,MUSI,MUSI-117,"Doyle, William",ONLIN,0.82,0.89,31.0,26,4,0,0,5,0,8,74
Fine Arts,MUSI,MUSI-120,"Blickfeldt, Kevin",ECC,0.9,0.96,29.0,10,6,1,2,1,0,2,51
Fine Arts,MUSI,MUSI-120,"Blickfeldt, Kevin",ONLIN,0.74,0.89,12.0,5,3,0,1,3,0,3,27
Fine Arts,MUSI,MUSI-130,"Moyer, David",ECC,1.0,1.0,8.0,2,0,0,0,0,0,0,10
Fine Arts,MUSI,MUSI-131A,"Chambers-Salazar, Polli",ECC,0.73,0.77,16.0,2,1,0,0,1,0,6,26
Fine Arts,MUSI,MUSI-131A,"Liebich, Rafael",ECC,0.75,0.82,16.0,3,2,0,2,0,0,5,28
Fine Arts,MUSI,MUSI-131A,"Stern, Valerie",ECC,0.74,0.95,10.0,4,0,0,0,4,0,1,19
Fine Arts,MUSI,MUSI-131B,"Chambers-Salazar, Polli",ECC,1.0,1.0,11.0,0,0,0,0,0,0,0,11
Fine Arts,MUSI,MUSI-147A,"Kleinhans, Jonathan",ECC,0.54,0.92,6.0,0,1,0,2,3,0,1,13
Fine Arts,MUSI,MUSI-147A,"Minei, Ryota",ECC,0.96,0.96,27.0,0,0,0,0,0,0,1,28
Fine Arts,MUSI,MUSI-147B,"Minei, Ryota",ECC,1.0,1.0,13.0,0,0,0,0,0,0,0,13
Fine Arts,MUSI,MUSI-152ABCD,"Nachef, Joanna",ECC,0.91,0.91,19.0,0,0,1,0,0,0,2,22
Fine Arts,MUSI,MUSI-180,"Kleinhans, Jonathan",ECC,0.77,0.95,12.0,3,2,0,0,4,0,1,22
Fine Arts,MUSI,MUSI-181A,"Kleinhans, Jonathan",ECC,0.83,0.91,13.0,5,1,0,0,2,0,2,23
Fine Arts,MUSI,MUSI-190A,"Blickfeldt, Kevin",ECC,1.0,1.0,3.0,0,1,0,0,0,0,0,4
Fine Arts,MUSI,MUSI-190A,"Minei, Ryota",ECC,0.8,0.8,3.0,1,0,0,0,0,0,1,5
Fine Arts,MUSI,MUSI-190A,"Moyer, David",ECC,0.33,0.67,1.0,0,0,0,0,1,0,1,3
Fine Arts,MUSI,MUSI-190B,"Blickfeldt, Kevin",ECC,0.75,0.75,3.0,0,0,0,0,0,0,1,4
Fine Arts,MUSI,MUSI-190B,"Minei, Ryota",ECC,1.0,1.0,12.0,0,0,0,0,0,0,0,12
Fine Arts,MUSI,MUSI-190B,"Moyer, David",ECC,0.88,1.0,5.0,2,0,0,0,1,0,0,8
Fine Arts,MUSI,MUSI-190C,"Blickfeldt, Kevin",ECC,1.0,1.0,2.0,0,1,0,0,0,0,0,3
Fine Arts,MUSI,MUSI-190C,"Minei, Ryota",ECC,1.0,1.0,5.0,1,0,0,0,0,0,0,6
Fine Arts,MUSI,MUSI-190C,"Moyer, David",ECC,0.8,0.8,3.0,1,0,0,0,0,0,1,5
Fine Arts,MUSI,MUSI-190D,"Blickfeldt, Kevin",ECC,1.0,1.0,2.0,1,0,0,0,0,0,0,3
Fine Arts,MUSI,MUSI-190D,"Minei, Ryota",ECC,1.0,1.0,5.0,0,0,0,0,0,0,0,5
Fine Arts,MUSI,MUSI-190D,"Moyer, David",ECC,1.0,1.0,4.0,0,0,0,0,0,0,0,4
Fine Arts,MUSI,MUSI-203,"Schulz, Patrick",HYBRD,0.75,0.92,1.0,6,2,0,0,2,0,1,12
