Division Name,Dept,Course,Name,Meth,Succ.,Compl,A,B,C,IPP,D,F,INP,W,Total
Health Sciences & Athletics,FTEC,FTEC-144,"Carey, Ryan",ECC,0.8,0.9,22,2,0,0,1,2,0,3,30
Health Sciences & Athletics,FTEC,FTEC-144,"Chang, Marvin",ECC,0.48,0.61,5,6,0,0,3,0,0,9,23
Health Sciences & Athletics,FTEC,FTEC-144,"Garcia, Leonard",ECC,0.48,0.61,5,6,0,0,3,0,0,9,23
Health Sciences & Athletics,FTEC,FTEC-144,"Rodrigues, Alex",ECC,0.8,0.9,22,2,0,0,1,2,0,3,30
Health Sciences & Athletics,FTEC,FTEC-2,"Coffelt, Kevin",ONLIN,0.0,0.5,0,0,0,0,1,0,0,1,2
Health Sciences & Athletics,FTEC,FTEC-3,"Hallock, Matthew",ONLIN,0.86,0.97,27,3,0,0,1,3,0,1,35
Health Sciences & Athletics,FTEC,FTEC-5,"Suen, Chen",ONLIN,0.81,0.92,23,3,3,0,1,3,0,3,36
Health Sciences & Athletics,FTEC,FTEC-6,"Rickman, Tracy",ONLIN,0.72,0.74,22,3,3,0,0,1,0,10,39
Health Sciences & Athletics,MEDT,MEDT-1,"Green, Michele",ONLIN,0.95,0.96,51,20,6,0,0,1,0,3,81
Health Sciences & Athletics,MEDT,MEDT-1,"Wade, Randy",ONLIN,0.88,0.96,100,9,11,0,2,9,0,5,136
Health Sciences & Athletics,NURS,NURS-143,"Guta, Michelle",ECC,0.9,0.91,42,18,1,0,0,1,0,6,68
Health Sciences & Athletics,NURS,NURS-144,"White, Maria",ECC,0.88,0.9,29,14,1,0,0,1,0,5,50
Health Sciences & Athletics,NURS,NURS-146,"Johnson, Shiny",ECC,0.97,0.97,5,24,9,0,0,0,0,1,39
Health Sciences & Athletics,PE,PE-10A,"Hazell, Thomas",ECC,0.88,0.94,15,0,0,0,0,1,0,1,17
Health Sciences & Athletics,PE,PE-10A,"Roman, Danielle",ECC,0.95,0.95,20,0,0,0,0,0,0,1,21
Health Sciences & Athletics,PE,PE-10B,"Roman, Danielle",ECC,1.0,1.0,7,1,0,0,0,0,0,0,8
Health Sciences & Athletics,PE,PE-135ABCD,"Arrache, Antonio",ECC,1.0,1.0,15,0,0,0,0,0,0,0,15
Health Sciences & Athletics,PE,PE-135ABCD,"Boerica, Sergiu",ECC,1.0,1.0,9,1,0,0,0,0,0,0,10
Health Sciences & Athletics,PE,PE-135ABCD,"Hughley, Kevin",ECC,0.87,0.87,13,0,0,0,0,0,0,2,15
Health Sciences & Athletics,PE,PE-135ABCD,"Rapoza, Jessica",ECC,1.0,1.0,20,0,0,0,0,0,0,0,20
Health Sciences & Athletics,PE,PE-135ABCD,"Ross, April",ECC,0.0,0.0,0,0,0,0,0,0,0,1,1
Health Sciences & Athletics,PE,PE-135ABCD,"Wood, Casey",ECC,1.0,1.0,16,0,0,0,0,0,0,0,16
Health Sciences & Athletics,PE,PE-16ABC,"Uphoff, Robert",ECC,1.0,1.0,13,0,0,0,0,0,0,0,13
Health Sciences & Athletics,PE,PE-18A,"Pittock, Rachel",ECC,0.94,1.0,14,3,0,0,1,0,0,0,18
Health Sciences & Athletics,PE,PE-18A,"Rosario, Krysti",ECC,0.5,0.86,5,2,0,0,4,1,0,2,14
Health Sciences & Athletics,PE,PE-21ABC,"Green, Kirsten",ECC,1.0,1.0,16,0,0,0,0,0,0,0,16
Health Sciences & Athletics,PE,PE-240A,"Rubke, Noah",ECC,0.86,0.91,19,0,0,0,1,0,0,2,22
Health Sciences & Athletics,PE,PE-249,"Rubke, Noah",ECC,0.96,0.96,22,0,0,0,0,0,0,1,23
Health Sciences & Athletics,PE,PE-253,"Hazell, Elizabeth",ECC,0.95,0.95,16,2,0,0,0,0,0,1,19
Health Sciences & Athletics,PE,PE-257,"Rapoza, Jessica",ONLIN,0.81,0.94,29,0,0,0,0,5,0,2,36
Health Sciences & Athletics,PE,PE-266,"Roman, Danielle",ONLIN,0.88,0.88,18,3,2,0,0,0,0,3,26
Health Sciences & Athletics,PE,PE-270,"Hazell, Thomas",ONLIN,0.49,1.0,12,3,2,0,0,18,0,0,35
Health Sciences & Athletics,PE,PE-275,"Calderon, Karla",ONLIN,0.79,1.0,25,5,0,0,0,8,0,0,38
Health Sciences & Athletics,PE,PE-275,"Rapoza, Jessica",ONLIN,0.79,1.0,25,5,0,0,0,8,0,0,38
Health Sciences & Athletics,PE,PE-277,"Hazell, Elizabeth",ONLIN,0.41,0.54,13,2,0,0,1,4,0,17,37
Health Sciences & Athletics,PE,PE-277,"Jacobson, Michael",ONLIN,1.0,1.0,26,3,2,0,0,0,0,0,31
Health Sciences & Athletics,PE,PE-277,"Lindheim, Gifford",ONLIN,0.43,0.6,12,0,3,0,1,5,0,14,35
Health Sciences & Athletics,PE,PE-3,"Hall, John",ECC,0.92,0.92,12,0,0,0,0,0,0,1,13
Health Sciences & Athletics,PE,PE-3,"Jimmerson, Charles",ECC,0.83,0.83,5,0,0,0,0,0,0,1,6
Health Sciences & Athletics,PE,PE-400,"Lim, Jae",ECC,0.95,0.95,29,4,1,6,0,0,0,2,42
Health Sciences & Athletics,PE,PE-4A,"Shaw, Stephen",ECC,1.0,1.0,14,1,1,0,0,0,0,0,16
Health Sciences & Athletics,PE,PE-4B,"Shaw, Stephen",ECC,1.0,1.0,7,0,0,0,0,0,0,0,7
Health Sciences & Athletics,PE,PE-54A,"Alvillar, Andrew",ECC,1.0,1.0,10,5,2,0,0,0,0,0,17
Health Sciences & Athletics,PE,PE-54B,"Alvillar, Andrew",ECC,1.0,1.0,3,1,0,0,0,0,0,0,4
Health Sciences & Athletics,PE,PE-54C,"Alvillar, Andrew",ECC,0.0,1.0,0,0,0,0,0,1,0,0,1
Health Sciences & Athletics,PE,PE-74A,"Barrera, Steven",ECC,0.93,1.0,10,3,0,0,0,1,0,0,14
Health Sciences & Athletics,PE,PE-74B,"Barrera, Steven",ECC,1.0,1.0,2,1,0,0,0,0,0,0,3
Health Sciences & Athletics,RTEC,RTEC-104,"Luna, Rosa",ECC,1.0,1.0,18,2,0,1,0,0,0,0,21
Health Sciences & Athletics,RTEC,RTEC-104,"Perez, Michele",ECC,1.0,1.0,18,2,0,1,0,0,0,0,21
Health Sciences & Athletics,RTEC,RTEC-104,"Villa, Eric",ECC,1.0,1.0,18,2,0,1,0,0,0,0,21
Health Sciences & Athletics,RTEC,RTEC-216,"Banks-Carson, Sivi",ECC,1.0,1.0,22,0,0,0,0,0,0,0,22
Health Sciences & Athletics,RTEC,RTEC-216,"Bradshaw, Jeffrey",ECC,1.0,1.0,22,0,0,0,0,0,0,0,22
Health Sciences & Athletics,RTEC,RTEC-216,"Lopez, Kathleen",ECC,1.0,1.0,22,0,0,0,0,0,0,0,22
Health Sciences & Athletics,RTEC,RTEC-216,"Luna, Rosa",ECC,1.0,1.0,22,0,0,0,0,0,0,0,22
Health Sciences & Athletics,RTEC,RTEC-216,"Pascua, Mark",ECC,1.0,1.0,22,0,0,0,0,0,0,0,22
Health Sciences & Athletics,RTEC,RTEC-216,"Rodriguez, Ruth",ECC,1.0,1.0,22,0,0,0,0,0,0,0,22
Humanities,ENGL,ENGL-1A,"Arehart, Robin",ONLIN,0.79,0.86,10,10,2,0,0,2,0,4,28
Humanities,ENGL,ENGL-1A,"Carr, Allison",ONLIN,0.69,0.76,7,7,6,0,1,1,0,7,29
Humanities,ENGL,ENGL-1A,"Cliett, Victoria",ECC,0.88,1.0,19,3,1,0,0,3,0,0,26
Humanities,ENGL,ENGL-1A,"Douglas, Jeffrey",ONLIN,0.75,0.96,16,1,1,0,1,4,0,1,24
Humanities,ENGL,ENGL-1A,"Hong, Lyman",ONLIN,0.39,0.61,3,4,2,0,2,3,0,9,23
Humanities,ENGL,ENGL-1A,"Magnesi, Miles",ONLIN,0.3,0.65,1,3,2,0,3,4,0,7,20
Humanities,ENGL,ENGL-1A,"Millea, John",ONLIN,0.68,0.79,9,6,4,0,0,3,0,6,28
Humanities,ENGL,ENGL-1A,"Peppard, Bruce",ONLIN,0.4,0.64,3,11,4,0,5,6,0,16,45
Humanities,ENGL,ENGL-1A,"Williams, Rachel",ONLIN,0.61,0.93,2,9,6,0,3,6,0,2,28
Humanities,ENGL,ENGL-1B,"Gallagher, Jennifer",ONLIN,0.96,0.96,20,6,1,0,0,0,0,1,28
Humanities,ENGL,ENGL-1B,"Lamborn, Sanam",ONLIN,0.69,0.79,10,8,2,0,1,1,1,6,29
