Division Name,Dept,Course,Name,Meth,Succ.,Compl,A,B,C,IPP,D,F,INP,W,Total
Behavioral  & Social Sciences,COMS,COMS-265,"Bishop, Francesca",ONLIN,0.4,0.67,10,8,6,0,0,16,0,20,60
Behavioral  & Social Sciences,ECON,ECON-100,"Nebbia, Gerardo",HSDUL,0.97,0.98,61,17,8,0,0,1,0,2,89
Behavioral  & Social Sciences,ECON,ECON-101,"Carter, Tanja",ONLIN,0.93,0.98,60,14,3,0,0,4,0,2,83
Behavioral  & Social Sciences,ECON,ECON-101,"Fradkin, Michael",ONLIN,0.72,0.75,15,7,4,0,1,0,0,9,36
Behavioral  & Social Sciences,ECON,ECON-101,"Inouye, Minehiro",ONLIN,0.57,0.77,15,17,10,0,7,8,0,17,74
Behavioral  & Social Sciences,ECON,ECON-101,"Marschall, Brett",ONLIN,0.95,0.98,29,9,3,0,0,1,0,1,43
Behavioral  & Social Sciences,ECON,ECON-102,"Keskinel, Meric",ONLIN,0.94,0.95,38,34,11,0,0,0,1,4,88
Behavioral  & Social Sciences,ESTU,ESTU-1,"Arrieta, Jose",ONLIN,0.98,0.98,36,5,3,0,0,0,0,1,45
Behavioral  & Social Sciences,ESTU,ESTU-1,"Bell-Blossom, Michelle",ONLIN,0.57,0.57,17,2,1,0,0,0,0,15,35
Behavioral  & Social Sciences,ESTU,ESTU-1,"Herrera, Raul",ONLIN,0.91,0.92,49,12,6,0,0,1,0,6,74
Behavioral  & Social Sciences,ESTU,ESTU-1,"Lopez, Nathan",ONLIN,0.6,0.72,20,12,7,0,2,6,0,18,65
Behavioral  & Social Sciences,ESTU,ESTU-1,"Smith, Lawrence",ONLIN,0.96,1.0,36,7,1,0,1,1,0,0,46
Behavioral  & Social Sciences,ESTU,ESTU-5,"Herrera, Xocoyotzin",EOC,1.0,1.0,10,0,0,0,0,0,0,0,10
Behavioral  & Social Sciences,HDEV,HDEV-101,"Torres, Selene",ONLIN,0.53,0.93,6,2,0,0,0,6,0,1,15
Behavioral  & Social Sciences,HDEV,HDEV-105,"Lozano, Wendy",ECC,0.82,0.88,9,5,0,0,0,1,0,2,17
Behavioral  & Social Sciences,HDEV,HDEV-110,"Aguiar, Emmanuel",ECC,1.0,1.0,9,2,0,0,0,0,0,0,11
Behavioral  & Social Sciences,HDEV,HDEV-110,"Leinen, Sarah",ONLIN,0.92,0.95,28,7,1,0,0,1,0,2,39
Behavioral  & Social Sciences,HDEV,HDEV-110,"Nguyen, Hatien",ONLIN,0.79,0.87,27,11,4,0,0,4,0,7,53
Behavioral  & Social Sciences,HDEV,HDEV-115,"Colbeck, Amanda",ONLIN,0.69,0.76,22,6,1,0,0,3,0,10,42
Behavioral  & Social Sciences,HIST,HIST-101,"Herrera Thomas, Hong",ONLIN,0.88,0.94,70,6,3,0,0,6,0,5,90
Behavioral  & Social Sciences,HIST,HIST-101,"Panski, Saul",ONLIN,0.9,0.93,44,10,1,0,0,2,0,4,61
Behavioral  & Social Sciences,HIST,HIST-101,"Sankofa, Jub",ECC,0.89,1.0,25,3,2,1,2,2,0,0,35
Behavioral  & Social Sciences,HIST,HIST-101,"Smith, Lawrence",ONLIN,0.83,0.95,26,8,0,0,0,5,0,2,41
Behavioral  & Social Sciences,HIST,HIST-101,"Uribe, Sandra",ONLIN,0.35,0.51,16,5,3,0,1,10,0,33,68
Behavioral  & Social Sciences,HIST,HIST-102,"Black, Dustin",HSDUL,1.0,1.0,35,6,1,0,0,0,0,0,42
Behavioral  & Social Sciences,HIST,HIST-102,"Black, Dustin",ONLIN,0.89,0.91,30,5,4,0,0,1,0,4,44
Behavioral  & Social Sciences,HIST,HIST-102,"Fraga, Michael",ONLIN,0.84,0.95,56,5,2,0,2,6,0,4,75
Behavioral  & Social Sciences,HIST,HIST-102,"Jaaska, Arne",HSDUL,0.91,1.0,66,10,2,0,1,7,0,0,86
Behavioral  & Social Sciences,HIST,HIST-102,"Melton, Jamahl",HSDUL,0.97,0.99,79,6,0,0,0,0,2,1,88
Behavioral  & Social Sciences,HIST,HIST-102,"Rafi, Muhammad",ONLIN,0.93,1.0,26,10,3,0,1,2,0,0,42
Behavioral  & Social Sciences,HIST,HIST-102,"Resnick, Kirsten",ONLIN,0.95,0.96,51,22,5,0,1,0,0,3,82
Behavioral  & Social Sciences,HIST,HIST-102,"Sankofa, Jub",ECC,0.92,0.92,30,0,1,2,0,0,0,3,36
Behavioral  & Social Sciences,HIST,HIST-102,"Swendson, Paul",ONLIN,0.93,0.98,32,34,8,0,1,3,0,2,80
Behavioral  & Social Sciences,HIST,HIST-112,"De La O, Ismael",ONLIN,0.56,0.94,31,7,5,0,5,24,0,5,77
Behavioral  & Social Sciences,HIST,HIST-122H,"Arrieta, Jose",HYBRD,0.86,1.0,19,4,1,0,0,4,0,0,28
Behavioral  & Social Sciences,HIST,HIST-140,"Pacas, Edgar",ONLIN,0.4,1.0,7,1,2,0,4,11,0,0,25
Behavioral  & Social Sciences,HIST,HIST-140,"Suarez, Jason",ONLIN,0.66,0.95,36,4,0,0,1,16,1,3,61
Behavioral  & Social Sciences,HIST,HIST-141,"Pacas, Edgar",ONLIN,0.75,0.97,20,4,0,0,1,6,0,1,32
Behavioral  & Social Sciences,HIST,HIST-141,"Rafi, Muhammad",HSDUL,1.0,1.0,35,3,3,0,0,0,0,0,41
Behavioral  & Social Sciences,HIST,HIST-141,"Wishon, Mark",HSDUL,0.92,0.99,50,25,4,0,1,5,0,1,86
Behavioral  & Social Sciences,HIST,HIST-154,"Herrera, Xocoyotzin",EOC,0.75,1.0,6,0,0,0,0,2,0,0,8
Behavioral  & Social Sciences,PHIL,PHIL-101,"Critelli, Michael",ECC,0.94,0.94,6,6,3,0,0,0,0,1,16
Behavioral  & Social Sciences,PHIL,PHIL-101,"Garcia, Roberto",ONLIN,0.85,0.98,13,16,6,0,1,4,0,1,41
Behavioral  & Social Sciences,PHIL,PHIL-101,"Leon, Felipe",ONLIN,0.84,0.95,57,11,4,0,1,8,1,4,86
Behavioral  & Social Sciences,PHIL,PHIL-103,"Garcia, Roberto",ONLIN,0.82,0.95,15,14,7,0,3,3,0,2,44
Behavioral  & Social Sciences,PHIL,PHIL-105,"Ramirez, Melissa",ONLIN,1.0,1.0,21,4,1,0,0,0,0,0,26
Behavioral  & Social Sciences,POLI,POLI-1,"Casper, Joshua",ONLIN,0.98,1.0,75,15,2,0,0,2,0,0,94
Behavioral  & Social Sciences,POLI,POLI-1,"Chaney, Van",ONLIN,0.91,0.98,35,4,2,0,1,2,0,1,45
Behavioral  & Social Sciences,POLI,POLI-1,"Coleman, Ellen",ONLIN,0.76,0.8,20,8,3,0,0,2,0,8,41
Behavioral  & Social Sciences,POLI,POLI-1,"Cranon-Charles, Angela",ONLIN,0.66,0.93,34,7,5,0,0,19,0,5,70
Behavioral  & Social Sciences,POLI,POLI-1,"Georges, Joseph",HSDUL,0.97,0.97,67,16,3,0,0,0,0,3,89
Behavioral  & Social Sciences,POLI,POLI-1,"Houske, Laurie",ONLIN,0.71,0.82,30,18,15,0,0,9,1,16,89
Behavioral  & Social Sciences,POLI,POLI-1,"Jun, Christine",ONLIN,0.84,1.0,22,6,7,1,3,4,0,0,43
Behavioral  & Social Sciences,POLI,POLI-1,"Klein, Thomas",ONLIN,0.88,0.98,58,18,1,0,2,7,0,2,88
Behavioral  & Social Sciences,POLI,POLI-1,"Munoz, Eduardo",ONLIN,0.67,0.95,24,17,2,0,0,18,0,3,64
Behavioral  & Social Sciences,POLI,POLI-1,"Reed, David",ONLIN,0.8,0.93,19,7,6,0,1,4,0,3,40
Behavioral  & Social Sciences,POLI,POLI-10H,"Striepe, Karl",ONLIN,0.94,0.97,25,5,0,0,0,1,0,1,32
Behavioral  & Social Sciences,POLI,POLI-7,"Gonzales, Steven",ONLIN,0.8,1.0,28,2,2,0,1,7,0,0,40
Behavioral  & Social Sciences,PSYC,PSYC-101,"Atkins, Sharona",ONLIN,0.64,0.82,7,5,2,0,1,3,0,4,22
Behavioral  & Social Sciences,PSYC,PSYC-101,"Dooley, Kevin",ONLIN,0.84,0.93,33,4,0,0,0,4,0,3,44
Behavioral  & Social Sciences,PSYC,PSYC-101,"Farah, Yara",HSDUL,0.63,0.81,4,5,1,0,1,2,0,3,16
Behavioral  & Social Sciences,PSYC,PSYC-101,"Farah, Yara",ONLIN,0.77,0.98,21,8,4,0,1,8,0,1,43
Behavioral  & Social Sciences,PSYC,PSYC-101,"Farias, Julio",ECC,0.85,1.0,14,12,3,0,1,4,0,0,34
Behavioral  & Social Sciences,PSYC,PSYC-101,"Galvan, Eddie",ONLIN,0.69,0.94,11,12,2,0,4,5,0,2,36
Behavioral  & Social Sciences,PSYC,PSYC-101,"Hall, Angel",ONLIN,0.76,1.0,19,6,6,0,4,6,0,0,41
Behavioral  & Social Sciences,PSYC,PSYC-101,"Huemer, Sabine",ONLIN,0.5,1.0,19,12,5,0,2,34,0,0,72
Behavioral  & Social Sciences,PSYC,PSYC-101,"Montes, Roberto",ONLIN,0.53,0.96,19,3,3,0,3,17,0,2,47
Behavioral  & Social Sciences,PSYC,PSYC-101,"Moshrefi, Farshid",ONLIN,0.88,0.94,52,29,7,0,0,6,0,6,100
Behavioral  & Social Sciences,PSYC,PSYC-101,"Stelter, Mary",ONLIN,0.98,1.0,52,1,1,0,0,1,0,0,55
Behavioral  & Social Sciences,PSYC,PSYC-102,"Farias, Julio",ONLIN,0.33,0.98,4,2,10,0,0,31,0,1,48
Behavioral  & Social Sciences,PSYC,PSYC-103,"Abdelhamid, Mohammed",ONLIN,0.91,1.0,9,8,4,0,0,2,0,0,23
Behavioral  & Social Sciences,PSYC,PSYC-107,"Huft, Justin",ONLIN,0.74,0.86,37,17,13,0,5,5,0,13,90
Behavioral  & Social Sciences,PSYC,PSYC-109A,"Atkins, Sharona",ONLIN,0.8,1.0,3,4,5,0,1,2,0,0,15
Behavioral  & Social Sciences,PSYC,PSYC-109A,"Galvan, Eddie",ONLIN,0.57,0.87,3,6,4,0,1,6,0,3,23
Behavioral  & Social Sciences,PSYC,PSYC-109B,"Chu, Yun",ONLIN,0.88,0.88,30,4,1,0,0,0,0,5,40
Behavioral  & Social Sciences,PSYC,PSYC-115,"O'Leary, Bernadette",ONLIN,0.92,0.95,24,11,1,0,1,0,0,2,39
Behavioral  & Social Sciences,PSYC,PSYC-116,"Conn, Bradfield",ONLIN,0.88,0.92,56,12,12,0,1,3,0,7,91
Behavioral  & Social Sciences,PSYC,PSYC-116,"Huff, Micheal",ONLIN,0.92,0.95,44,16,17,0,0,3,0,4,84
Behavioral  & Social Sciences,SOCI,SOCI-101,"Allen, Stacey",ONLIN,0.84,0.87,55,17,10,0,1,2,0,13,98
Behavioral  & Social Sciences,SOCI,SOCI-101,"Eaves, Stephanie",ONLIN,0.84,0.99,66,10,7,0,4,10,1,1,99
Behavioral  & Social Sciences,SOCI,SOCI-101,"Fujiwara, Melissa",ONLIN,0.94,0.95,71,13,7,0,0,1,0,5,97
Behavioral  & Social Sciences,SOCI,SOCI-102,"Stone, Akello",ONLIN,0.83,0.9,26,6,3,0,0,3,0,4,42
Behavioral  & Social Sciences,SOCI,SOCI-104,"Bell-Blossom, Michelle",ONLIN,0.59,0.78,10,4,2,0,1,4,0,6,27
Behavioral  & Social Sciences,SOCI,SOCI-104,"Din, Mediha",ONLIN,0.29,0.47,5,3,2,0,3,3,0,18,34
Behavioral  & Social Sciences,SOCI,SOCI-109A,"Aguilera, Peter",ONLIN,0.58,0.67,2,2,3,0,0,1,0,4,12
Behavioral  & Social Sciences,SOCI,SOCI-112,"Aguilera, Peter",ONLIN,0.66,0.86,16,1,2,0,0,6,0,4,29
Behavioral  & Social Sciences,SSCI,SSCI-103,"Rodriguez, Jessica",ONLIN,0.48,0.96,15,6,1,0,1,21,0,2,46
Behavioral  & Social Sciences,WSTU,WSTU-1,"Baker, Allison",ONLIN,0.75,0.99,43,15,3,0,3,16,0,1,81
Business,BUS,BUS-101,"Chau, Yuen",ONLIN,1.0,1.0,23,14,2,0,0,0,0,0,39
Business,BUS,BUS-150,"Giles, Brizset",ONLIN,0.72,0.86,5,15,6,0,3,2,0,5,36
Business,BUS,BUS-150,"Hull, Kurt",ONLIN,0.55,0.85,12,8,10,0,2,15,0,8,55
Business,BUS,BUS-151,"Kim, Julie",ONLIN,0.98,0.98,22,14,7,0,0,0,0,1,44
